epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,7905.36,0.84948,0.55951,1.50551,0.96272,0.96744,0.98861,0.83743,0.68452,0.46715,1.50008,0.001288,0.001288,0.001288
90,7989.07,0.84473,0.55623,1.49439,0.96253,0.96735,0.98862,0.83858,0.68238,0.46523,1.49917,0.001189,0.001189,0.001189
91,8093.91,0.84965,0.56102,1.59174,0.96496,0.96704,0.98905,0.83885,0.682,0.46345,1.49859,0.00109,0.00109,0.00109
92,8160.13,0.83658,0.55346,1.58617,0.96464,0.96834,0.98968,0.83956,0.68073,0.46133,1.49881,0.000991,0.000991,0.000991
93,8226.37,0.83229,0.5517,1.57933,0.9664,0.96865,0.98974,0.8407,0.67836,0.4594,1.4981,0.000892,0.000892,0.000892
94,8293.37,0.82469,0.54719,1.58773,0.96779,0.96818,0.98989,0.84139,0.67676,0.45823,1.49759,0.000793,0.000793,0.000793
95,8359.92,0.81925,0.54388,1.58048,0.96671,0.97036,0.98986,0.8414,0.67543,0.45652,1.49762,0.000694,0.000694,0.000694
96,8427.05,0.81423,0.53882,1.58349,0.96803,0.96965,0.98997,0.84194,0.67516,0.45536,1.49723,0.000595,0.000595,0.000595
97,8494.32,0.80666,0.53554,1.57687,0.96881,0.96875,0.98984,0.84327,0.67255,0.45403,1.49742,0.000496,0.000496,0.000496
98,8560.93,0.80594,0.53317,1.59538,0.96912,0.96906,0.99024,0.84367,0.67143,0.4529,1.49836,0.000397,0.000397,0.000397
99,8627.45,0.80268,0.53105,1.59011,0.96923,0.96922,0.9903,0.8438,0.67064,0.45204,1.49884,0.000298,0.000298,0.000298
100,8695.93,0.79396,0.52634,1.5751,0.96905,0.96927,0.9903,0.84428,0.66976,0.45164,1.49972,0.000199,0.000199,0.000199
